ID,X,Y,Z,refined ID,vertex_ind,distance,angle
0,83.98756067,28.20763646,839.782,0,0,,
1,84.10611773,28.10953789,620.7749023,1,0,0,156.5314723
3,84.10668701,28.10822666,633.2768555,1,1,0.001429477,153.1127876
4,84.10748764,28.10685687,645.395752,1,2,0.003016085,152.9281949
5,84.10826989,28.10508642,658.7962646,1,3,0.004951644,140.0885159
6,84.10981293,28.10404506,681.737915,1,4,0.006813201,142.2096055
7,84.11037985,28.10245255,682.9741821,1,5,0.008503609,127.9228453
8,84.11333002,28.10217154,720.8120728,1,6,0.011467128,130.0510104
9,84.1135506,28.10136737,719.5201416,1,7,0.012301002,182.5566534
10,84.11310049,28.10016044,738.3600464,1,8,0.013589136,184.0280357
11,84.11355315,28.09810101,753.7467041,1,9,0.015697724,159.8263564
12,84.11435297,28.09659364,779.9040527,1,10,0.017404142,125.1153585
13,84.11628363,28.09631607,790.7352295,1,11,0.019354656,112.4636893
14,84.1173445,28.095524,809.690979,1,12,0.02067859,128.6251163
15,84.11853177,28.09450982,815.253418,1,13,0.02224006,115.8699447
16,84.12089304,28.09404075,834.9155273,1,14,0.024647464,136.7691732
17,84.12131243,28.09093765,873.7415161,1,15,0.027778781,155.1382415
18,84.12273883,28.08935494,880.0426025,1,16,0.029909409,155.337702
19,84.12298399,28.08744072,909.6113892,1,17,0.031839266,201.9401483
20,84.12112781,28.08594717,941.5827637,1,18,0.034221722,191.5766449
21,84.12186823,28.08455612,956.3175659,1,19,0.035797553,146.2917857
22,84.12327245,28.08284606,977.3997803,1,20,0.038010274,127.7510795
23,84.12530728,28.08190181,1004.887024,1,21,0.040253519,132.921695
24,84.12625717,28.08019169,1023.60968,1,22,0.042209737,141.4876479
25,84.1273968,28.07916464,1012.043213,1,23,0.043743879,113.4160603
26,84.12918367,28.07901438,1008.835571,1,24,0.045537053,127.7808636
27,84.12954939,28.07796682,1004.08252,1,25,0.046646622,183.2502733
28,84.12908553,28.07700494,995.1040039,1,26,0.047714502,178.7717766
29,84.12957905,28.07608462,990.0477905,1,27,0.048758793,122.1073096
30,84.13095113,28.07602672,986.4500122,1,28,0.050132102,87.59678335
31,84.13294586,28.07627953,981.3294067,1,29,0.052142783,82.77684454
32,84.21413111,28.0407944,485.91,0,9,,
33,84.24983493,28.04038711,529.976,0,10,,
34,84.32014323,28.06365257,637.271,0,11,,
35,84.35964465,28.05162148,567.263,0,12,,
36,84.43921518,28.00189182,506.064,0,13,,
37,84.5509491,27.94983528,365.198,0,14,,
38,84.62806282,27.94045285,965.497,0,15,,
39,84.6389244,27.93444581,1031.792,0,16,,
40,84.6435726,27.92789625,1107.561,0,17,,
41,84.65394507,27.92267208,1136.312,0,18,,
42,84.67654227,27.90418992,1122.954,0,19,,
43,84.68709983,27.89422845,1448.738,0,20,,
44,84.71476877,27.89673572,865.796,0,21,,
45,84.73323189,27.8886397,573.554,0,22,,
46,84.75137526,27.872677,377.953,0,23,,
47,84.76260429,27.85255355,513.882,0,24,,
48,84.77683309,27.81478225,393.548,0,25,,
49,84.78423906,27.81250217,372.383,0,26,,
50,84.8086682,27.81641107,371.1,0,27,,
51,84.99697742,27.79630489,432.946,0,28,,
52,85.04679541,27.7493864,574.11,0,29,,
53,85.13160126,27.74028648,892.7804565,2,0,0,42.74393731
54,85.13401635,27.74289967,899.0779419,2,1,0.003558291,60.29874804
55,85.13783249,27.74372101,883.5544434,2,2,0.007461818,122.9853021
56,85.13874574,27.73938094,889.9091187,2,3,0.011896934,134.6942394
57,85.14236438,27.73865974,890.3674316,2,4,0.015586748,90.04628909
58,85.14594613,27.73936757,890.557312,2,5,0.019237767,48.24123167
59,85.1465755,27.74134427,880.7310181,2,6,0.021312241,56.3513837
60,85.14859396,27.74116621,889.7567749,2,7,0.02333854,90.88545994
